location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
OTTAWA RESERVOIR,-84.021753,41.014453,20,2002,Saugeye,Fingerlings,2315
NORTH BALTIMORE RESERVOIR,-83.672003,41.172340,20,2002,Saugeye,Fingerlings,2315
LIMA LAKE,-84.050626,40.757473,87,2002,Saugeye,Fingerlings,9260
MCCOMB RESERVOIR #2,-83.779104,41.106120,20,2002,Saugeye,Fingerlings,2315
NORWALK RESERVOIR #3,-82.590454,41.234447,92,2002,Walleye,Fingerlings,10555
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2002,Walleye,Fingerlings,23028
WILLARD RESERVOIR,-82.665177,41.057248,199,2002,Walleye,Fingerlings,20150
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2002,Walleye,Fingerlings,5757
WILLARD RESERVOIR,-82.665177,41.057248,199,1998,Channel Catfish,Yearling,6905
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,175647
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,204442
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Yellow Perch,Fingerlings,157608
KILLDEER RESERVOIR,-83.384538,40.705486,251,2002,Walleye,Fingerlings,28518
FINDLAY RESERVOIR #1,-83.565485,41.008315,186,2002,Yellow Perch,Fingerlings,94473
FINDLAY RESERVOIR #1,-83.565485,41.008315,186,2002,Walleye,Fingerlings,20370
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Walleye,Fingerlings,61110
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,129597
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,79443
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,38987
FINDLEY LAKE,-82.208213,41.137552,85,1998,Channel Catfish,Yearling,2327
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Yellow Perch,Fingerlings,127995
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2002,Yellow Perch,Fingerlings,27874
WILLARD RESERVOIR,-82.665177,41.057248,199,2002,Yellow Perch,Fingerlings,98826
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2002,Yellow Perch,Fingerlings,31675
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Yellow Perch,Fingerlings,84105
FERGUSON RESERVOIR,-84.044266,40.732342,308,2002,Yellow Perch,Fingerlings,50463
METZGER RESERVOIR,-84.055351,40.741409,157,2002,Yellow Perch,Fingerlings,50463
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2002,Yellow Perch,Fingerlings,82274
MONROEVILLE RESERVOIR,-82.710898,41.233010,16,2002,Yellow Perch,Fingerlings,19905
PAINT CREEK LAKE,-83.354080,39.250837,1177,2002,Saugeye,Fingerlings,233334
SHREVE LAKE,-82.043483,40.684258,62,1998,Channel Catfish,Yearling,1449
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2002,Saugeye,Fingerlings,396936
INDIAN LAKE,-83.875493,40.467488,5036,2002,Saugeye,Fingerlings,246744
INDIAN LAKE,-83.875493,40.467488,5036,2002,Saugeye,Fingerlings,72305
LAKE LORAMIE,-84.362362,40.363606,869,2002,Saugeye,Fingerlings,9804
BEACH CITY RESERVOIR,-81.557344,40.645061,141,2002,Saugeye,Fingerlings,9804
TAPPAN LAKE,-81.225939,40.359266,2274,2002,Saugeye,Fingerlings,352944
ALUM CREEK LAKE,-82.963793,40.184249,3331,2002,Saugeye,Fingerlings,260015
INDIAN LAKE,-83.875493,40.467488,5036,2002,Saugeye,Fingerlings,30685
HOOVER RESERVOIR,-82.881928,40.108163,2884,2002,Saugeye,Fingerlings,256785
ATWOOD LAKE,-81.285772,40.526523,1563,2002,Saugeye,Fingerlings,23661
AMANN RESERVOIR,-82.822403,40.712548,32,1998,Channel Catfish,Yearling,1015
LEESVILLE LAKE,-81.194548,40.468665,1011,2002,Saugeye,Fingerlings,22944
PIEDMONT LAKE,-81.213162,40.190368,2370,2002,Saugeye,Fingerlings,91776
SALT FORK LAKE,-81.557065,40.104771,3060,2002,Saugeye,Fingerlings,50907
WILLS CREEK LAKE,-81.850408,40.157271,375,2002,Saugeye,Fingerlings,21510
BELMONT LAKE,-81.008987,40.033671,109,2002,Saugeye,Fingerlings,11472
WOLF RUN LAKE,-81.548180,39.790673,208,2002,Saugeye,Fingerlings,20076
NORWALK RESERVOIR #1,-82.589899,41.238347,32,2002,Channel Catfish,Yearling,790
NORWALK RESERVOIR #2,-82.582676,41.233947,52,2002,Channel Catfish,Yearling,1155
WILLARD RESERVOIR,-82.665177,41.057248,199,2002,Channel Catfish,Yearling,4851
VETS MEMORIAL RESERVOIR,-83.455482,41.133320,157,2002,Channel Catfish,Yearling,2981
LIMA LAKE,-84.050626,40.757473,87,1998,Saugeye,Fingerlings,9196
RESTHAVEN POND #11,-82.830743,41.394242,29,1998,Channel Catfish,Yearling,2093
LAKE LECOMTE,-83.447149,41.115821,137,2002,Channel Catfish,Yearling,3339
AEP RECREATION LAND,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,12912
AEP RECREATION LAND,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,4573
EGYPT VALLEY WA PONDS,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,2017
AEP RECREATION LAND,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,8226
WOODBURY WA PONDS,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,2049
SPRING VALLEY LAKE,-84.018807,39.563881,101,2002,Largemouth Bass,Fingerlings,3047
MONROEVILLE RESERVOIR,-82.710898,41.233010,16,2002,Largemouth Bass,Fingerlings,2576
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2002,Channel Catfish,Yearling,5510
RESTHAVEN POND #07,-82.830743,41.394242,59,1998,Channel Catfish,Yearling,392
RESTHAVEN POND #11,-82.830743,41.394242,29,2002,Channel Catfish,Yearling,664
DARKE WA PONDS,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,1896
RESTHAVEN POND #07,-82.830743,41.394242,59,2002,Channel Catfish,Yearling,605
RESTHAVEN POND #08,-82.830743,41.394242,122,2002,Channel Catfish,Yearling,1229
RESTHAVEN POND #10,-82.830743,41.394242,216,2002,Channel Catfish,Yearling,3037
VETS MEMORIAL RESERVOIR,-83.455482,41.133320,157,2002,Channel Catfish,Yearling,969
AMICK RESERVOIR,-82.822681,40.703148,53,2002,Channel Catfish,Yearling,1982
POWERS RESERVOIR,-82.803509,40.721617,28,2002,Channel Catfish,Yearling,1246
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2002,Channel Catfish,Yearling,1281
NORTH BALTIMORE RESERVOIR,-83.672003,41.172340,20,2002,Channel Catfish,Yearling,1426
HANCOCK COUNTY WETLANDS #1,NULL,NULL,20,2002,Channel Catfish,Yearling,499
GIERTZ LAKE,-83.559920,41.030365,5,2002,Channel Catfish,Yearling,315
MCCOMB RESERVOIR #2,-83.779104,41.106120,20,2002,Channel Catfish,Yearling,752
OTTAWA RESERVOIR,-84.021753,41.014453,20,2002,Channel Catfish,Yearling,1499
NETTLE LAKE,-84.730407,41.679601,115,2002,Channel Catfish,Yearling,2405
HARRISON LAKE,-84.360311,41.639322,98,2002,Channel Catfish,Yearling,2630
